Iter: 00000; D loss: 1.556; G_loss: 0.7096
Iter: 00001; D loss: 1.609; G_loss: 0.629
Iter: 00002; D loss: 1.492; G_loss: 0.6488
Iter: 00003; D loss: 1.409; G_loss: 0.6166
Iter: 00004; D loss: 1.518; G_loss: 0.5716
Iter: 00005; D loss: 1.396; G_loss: 0.6933
Iter: 00006; D loss: 1.372; G_loss: 0.6821
Iter: 00007; D loss: 1.448; G_loss: 0.6981
Iter: 00008; D loss: 1.489; G_loss: 0.628
Iter: 00009; D loss: 1.516; G_loss: 0.8628
Iter: 00010; D loss: 1.353; G_loss: 0.6338
Iter: 00011; D loss: 1.423; G_loss: 0.6775
Iter: 00012; D loss: 1.056; G_loss: 0.9135
Iter: 00013; D loss: 1.625; G_loss: 0.7128
Iter: 00014; D loss: 1.345; G_loss: 0.8084
Iter: 00015; D loss: 0.3899; G_loss: 1.714
Iter: 00016; D loss: 1.578; G_loss: 0.3599
Iter: 00017; D loss: 0.9581; G_loss: 0.9871
Iter: 00018; D loss: 0.9808; G_loss: 1.158
Iter: 00019; D loss: 1.576; G_loss: 1.357
Iter: 00020; D loss: 1.339; G_loss: 0.9922
Iter: 00021; D loss: 1.229; G_loss: 0.8749
Iter: 00022; D loss: 1.181; G_loss: 1.826
Iter: 00023; D loss: 1.045; G_loss: 1.107
Iter: 00024; D loss: 1.249; G_loss: 1.073
Iter: 00025; D loss: 0.7754; G_loss: 1.631
Iter: 00026; D loss: 1.064; G_loss: 1.758
Iter: 00027; D loss: 1.017; G_loss: 1.094
Iter: 00028; D loss: 1.452; G_loss: 1.055
Iter: 00029; D loss: 1.182; G_loss: 0.8339
Iter: 00030; D loss: 0.6207; G_loss: 1.578
Iter: 00031; D loss: 0.912; G_loss: 2.152
Iter: 00032; D loss: 0.5342; G_loss: 2.079
Iter: 00033; D loss: 1.121; G_loss: 2.421
Iter: 00034; D loss: 0.3933; G_loss: 3.181
Iter: 00035; D loss: 0.2548; G_loss: 3.477
Iter: 00036; D loss: 0.6976; G_loss: 0.8519
Iter: 00037; D loss: 0.2656; G_loss: 2.452
Iter: 00038; D loss: 0.9958; G_loss: 1.359
Iter: 00039; D loss: 0.2836; G_loss: 1.885
Iter: 00040; D loss: 0.5377; G_loss: 1.671
Iter: 00041; D loss: 0.9847; G_loss: 1.073
Iter: 00042; D loss: 0.3369; G_loss: 3.437
Iter: 00043; D loss: 0.2977; G_loss: 2.385
Iter: 00044; D loss: 0.2154; G_loss: 3.061
Iter: 00045; D loss: 0.4932; G_loss: 2.495
Iter: 00046; D loss: 1.585; G_loss: 3.334
Iter: 00047; D loss: 0.2029; G_loss: 3.495
Iter: 00048; D loss: 0.6522; G_loss: 1.76
Iter: 00049; D loss: 0.2301; G_loss: 2.92
Iter: 00050; D loss: 0.5571; G_loss: 1.572
Iter: 00051; D loss: 0.1286; G_loss: 2.966
Iter: 00052; D loss: 0.08275; G_loss: 3.501
Iter: 00053; D loss: 0.2795; G_loss: 3.059
Iter: 00054; D loss: 0.1869; G_loss: 2.771
Iter: 00055; D loss: 0.1169; G_loss: 3.097
Iter: 00056; D loss: 0.1716; G_loss: 3.971
Iter: 00057; D loss: 0.2362; G_loss: 2.288
Iter: 00058; D loss: 0.08096; G_loss: 4.008
Iter: 00059; D loss: 0.09931; G_loss: 3.225
Iter: 00060; D loss: 0.1004; G_loss: 3.233
Iter: 00061; D loss: 1.098; G_loss: 0.6231
Iter: 00062; D loss: 0.1043; G_loss: 4.153
Iter: 00063; D loss: 0.07967; G_loss: 3.763
Iter: 00064; D loss: 0.06638; G_loss: 3.752
Iter: 00065; D loss: 0.05783; G_loss: 3.874
Iter: 00066; D loss: 0.05066; G_loss: 4.036
Iter: 00067; D loss: 0.03199; G_loss: 5.118
Iter: 00068; D loss: 0.0374; G_loss: 3.919
Iter: 00069; D loss: 0.1694; G_loss: 5.01
Iter: 00070; D loss: 0.2399; G_loss: 2.046
Iter: 00071; D loss: 0.1201; G_loss: 2.732
Iter: 00072; D loss: 0.04773; G_loss: 3.793
Iter: 00073; D loss: 0.04972; G_loss: 3.8
Iter: 00074; D loss: 0.2529; G_loss: 3.01
Iter: 00075; D loss: 0.133; G_loss: 4.713
Iter: 00076; D loss: 0.2778; G_loss: 3.877
Iter: 00077; D loss: 0.1751; G_loss: 5.485
Iter: 00078; D loss: 0.2393; G_loss: 4.695
Iter: 00079; D loss: 0.05553; G_loss: 4.074
Iter: 00080; D loss: 0.1187; G_loss: 6.25
Iter: 00081; D loss: 0.1987; G_loss: 2.853
Iter: 00082; D loss: 0.09418; G_loss: 5.743
Iter: 00083; D loss: 0.07346; G_loss: 4.367
Iter: 00084; D loss: 0.1317; G_loss: 3.834
Iter: 00085; D loss: 0.1663; G_loss: 3.37
Iter: 00086; D loss: 0.2012; G_loss: 4.31
Iter: 00087; D loss: 0.1026; G_loss: 4.246
Iter: 00088; D loss: 0.05084; G_loss: 4.254
Iter: 00089; D loss: 0.833; G_loss: 5.363
Iter: 00090; D loss: 0.2434; G_loss: 5.158
Iter: 00091; D loss: 0.178; G_loss: 3.726
Iter: 00092; D loss: 0.1781; G_loss: 2.767
Iter: 00093; D loss: 0.3033; G_loss: 2.797
Iter: 00094; D loss: 0.09881; G_loss: 3.364
Iter: 00095; D loss: 0.09507; G_loss: 3.6
Iter: 00096; D loss: 0.0849; G_loss: 4.04
Iter: 00097; D loss: 0.3449; G_loss: 4.61
Iter: 00098; D loss: 0.2215; G_loss: 2.556
Iter: 00099; D loss: 0.2441; G_loss: 3.284
Iter: 00100; D loss: 0.4379; G_loss: 3.028
Iter: 00200; D loss: 0.3465; G_loss: 7.873
Iter: 00300; D loss: 0.3692; G_loss: 8.346
Iter: 00400; D loss: 0.2571; G_loss: 3.435
Iter: 00500; D loss: 0.6846; G_loss: 0.931
Iter: 00600; D loss: 1.063; G_loss: 1.263
Iter: 00700; D loss: 0.4584; G_loss: 2.641
Iter: 00800; D loss: 0.1117; G_loss: 6.38
Iter: 00900; D loss: 0.5995; G_loss: 2.406
Iter: 01000; D loss: 0.3741; G_loss: 2.299
Iter: 01100; D loss: 0.3757; G_loss: 2.996
Iter: 01200; D loss: 0.2111; G_loss: 4.534
Iter: 01300; D loss: 0.3226; G_loss: 3.153
Iter: 01400; D loss: 0.8236; G_loss: 2.018
Iter: 01500; D loss: 0.1756; G_loss: 4.095
Iter: 01600; D loss: 0.2153; G_loss: 5.741
Iter: 01700; D loss: 0.4606; G_loss: 3.303
Iter: 01800; D loss: 0.3094; G_loss: 4.424
Iter: 01900; D loss: 0.2967; G_loss: 8.642
